Survived,Pclass,Sex_male,Embarked_Q,Embarked_S,Title_Miss,Title_Mr,Title_Mrs,Title_Rare,Age,Fare,FamilySize
0,3,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.5695580614303902,-0.5641087873940193,0.059159876663617626
1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6779828041686943,0.9425480546638041,0.059159876663617626
1,3,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.2576728450306191,-0.548226529750121,-0.5609748304808925
1,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.4440688918688659,0.5147082688618853,0.059159876663617626
0,3,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.4440688918688659,-0.5452853709271769,-0.5609748304808925
0,3,1.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.10173023683073354,-0.5356783697479123,-0.5609748304808925
0,1,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.9255236697677787,0.4855907965147383,-0.5609748304808925
0,3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.128984143429246,-0.23881662157639924,1.9195639980971482
1,3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.17970154093067633,-0.47273757093690794,0.6792945838081278
1,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.1933284942299325,-0.027152009260873307,0.059159876663617626
1,3,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.9730415352293602,-0.3417571803794436,0.6792945838081278
1,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.23740888616755,-0.10999386513144661,-0.5609748304808925
0,3,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.7255006696302758,-0.5452853709271769,-0.5609748304808925
0,3,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.7559541082686371,0.0011819383758412065,3.1598334123861687
0,3,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.1933284942299325,-0.5498924021074366,-0.5609748304808925
1,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0034949738677215,-0.35822766978793064,-0.5609748304808925
0,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.128984143429246,-0.04940599337879768,2.5396987052416584
1,2,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.10173023683073354,-0.4288154815385896,-0.5609748304808925
0,3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.1321836754690948,-0.3111691286208247,0.059159876663617626
1,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.10173023683073354,-0.5646970191586081,-0.5609748304808925
0,2,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.4440688918688659,-0.12293496395240078,-0.5609748304808925
1,2,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.36609758776892315,-0.4288154815385896,-0.5609748304808925
1,3,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-1.1153571901299897,-0.5457747797553149,-0.5609748304808925
1,1,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.10173023683073354,0.10059310659135261,-0.5609748304808925
0,3,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.661156318829589,-0.23881662157639924,1.9195639980971482
1,3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.6779828041686943,0.003828981316490934,3.1598334123861687
0,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.10173023683073354,-0.5646970191586081,-0.5609748304808925
0,1,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.8034719737302185,5.124238728242953,2.5396987052416584
1,3,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.10173023683073354,-0.5493041703428477,-0.5609748304808925
0,3,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.10173023683073354,-0.5489135844511608,-0.5609748304808925
0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8339254123685798,-0.08244579513222278,-0.5609748304808925
1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.10173023683073354,2.7128315501938722,0.059159876663617626
1,3,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.10173023683073354,-0.5523441521022427,-0.5609748304808925
0,2,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.7832080148671494,-0.4876386579974721,-0.5609748304808925
0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.10173023683073354,1.1987229881422372,0.059159876663617626
0,1,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.9898680205684653,0.4888260712199769,0.059159876663617626
1,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.10173023683073354,-0.5645981962221572,-0.5609748304808925
0,3,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.647529365530333,-0.5452853709271769,-0.5609748304808925
0,3,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.8814432778301613,-0.3111691286208247,0.6792945838081278
1,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.1933284942299325,-0.4701869980056509,0.059159876663617626
0,3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.8339254123685798,-0.511756160345614,0.059159876663617626
0,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.17970154093067633,-0.2405813168701657,0.059159876663617626
0,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.10173023683073354,-0.5489135844511608,-0.5609748304808925
1,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.051012839329303,0.24363224832288793,1.299429290952638
